"DT_VENDA","CD_PRODUTO","DS_PRODUTO","UND_MED","QTD_SAIDA"
13/07/23 00:00:00,"16871","DETERG LIMPOL NEUTRO FR 500ML","UN",51
29/07/23 00:00:00,"225","COXA/SOBREC C/DORSO PCTAO KG","KG",431
24/07/23 00:00:00,"30812","OVO GAL LOCKS BJ C/30 PLAST","UN",151
08/07/23 00:00:00,"27090","REFRIG COCA COLA PET 2L","UN",379
15/07/23 00:00:00,"16871","DETERG LIMPOL NEUTRO FR 500ML","UN",168
02/07/23 00:00:00,"28151","CAFE PO CABOCLO PCT 500G TRAD","UN",46
27/07/23 00:00:00,"179","ACEM BOVINO POSTA KG","KG",88
19/06/24 00:00:00,"30812","OVO GAL LOCKS BJ C/30 PLAST","UN",145
20/06/24 00:00:00,"179","ACEM BOVINO POSTA KG","KG",32
20/12/23 00:00:00,"179","ACEM BOVINO POSTA KG","KG",174
14/12/23 00:00:00,"28151","CAFE PO CABOCLO PCT 500G TRAD","UN",18
02/12/23 00:00:00,"53056","SABON PALMOLIVE 85G HIDR INTENSIVA","UN",29
10/12/23 00:00:00,"27090","REFRIG COCA COLA PET 2L","UN",212
11/12/23 00:00:00,"179","ACEM BOVINO POSTA KG","KG",137
09/06/24 00:00:00,"27090","REFRIG COCA COLA PET 2L","UN",238
19/06/24 00:00:00,"28627","OLEO SOJA COAMO PET 900ML","UN",150
12/06/24 00:00:00,"16871","DETERG LIMPOL NEUTRO FR 500ML","UN",63
21/06/24 00:00:00,"28151","CAFE PO CABOCLO PCT 500G TRAD","UN",55
09/06/24 00:00:00,"367","PAO FRANCES","KG",203
10/06/24 00:00:00,"367","PAO FRANCES","KG",278
30/06/24 00:00:00,"179","ACEM BOVINO POSTA KG","KG",102
24/06/24 00:00:00,"53056","SABON PALMOLIVE 85G HIDR INTENSIVA","UN",20
27/06/24 00:00:00,"28151","CAFE PO CABOCLO PCT 500G TRAD","UN",35
16/06/24 00:00:00,"225","COXA/SOBREC C/DORSO PCTAO KG","KG",34
16/06/24 00:00:00,"16871","DETERG LIMPOL NEUTRO FR 500ML","UN",67
29/06/24 00:00:00,"179","ACEM BOVINO POSTA KG","KG",271
07/06/24 00:00:00,"52565","CR DENTAL SORRISO 70G TRIP ACAO LIMP COMP","UN",95
10/06/24 00:00:00,"16871","DETERG LIMPOL NEUTRO FR 500ML","UN",75
29/07/23 00:00:00,"30812","OVO GAL LOCKS BJ C/30 PLAST","UN",314
25/07/23 00:00:00,"28627","OLEO SOJA COAMO PET 900ML","UN",219
04/07/23 00:00:00,"30812","OVO GAL LOCKS BJ C/30 PLAST","UN",257
19/07/23 00:00:00,"179","ACEM BOVINO POSTA KG","KG",103
15/06/23 00:00:00,"52565","CR DENTAL SORRISO 70G TRIP ACAO LIMP COMP","UN",21
23/06/23 00:00:00,"28151","CAFE PO CABOCLO PCT 500G TRAD","UN",60
22/06/23 00:00:00,"52565","CR DENTAL SORRISO 70G TRIP ACAO LIMP COMP","UN",28
16/06/23 00:00:00,"28151","CAFE PO CABOCLO PCT 500G TRAD","UN",55
11/06/23 00:00:00,"27090","REFRIG COCA COLA PET 2L","UN",134
02/09/23 00:00:00,"179","ACEM BOVINO POSTA KG","KG",266
04/09/23 00:00:00,"28627","OLEO SOJA COAMO PET 900ML","UN",408
11/09/23 00:00:00,"367","PAO FRANCES","KG",252
15/09/23 00:00:00,"367","PAO FRANCES","KG",342
29/09/23 00:00:00,"225","COXA/SOBREC C/DORSO PCTAO KG","KG",340
17/09/23 00:00:00,"179","ACEM BOVINO POSTA KG","KG",33
30/09/23 00:00:00,"53056","SABON PALMOLIVE 85G HIDR INTENSIVA","UN",22
04/04/23 00:00:00,"27090","REFRIG COCA COLA PET 2L","UN",14611
30/04/23 00:00:00,"367","PAO FRANCES","KG",192
06/04/23 00:00:00,"27090","REFRIG COCA COLA PET 2L","UN",291
11/04/23 00:00:00,"16871","DETERG LIMPOL NEUTRO FR 500ML","UN",48
26/04/23 00:00:00,"28151","CAFE PO CABOCLO PCT 500G TRAD","UN",59
18/04/23 00:00:00,"225","COXA/SOBREC C/DORSO PCTAO KG","KG",206
03/04/23 00:00:00,"16871","DETERG LIMPOL NEUTRO FR 500ML","UN",58
08/04/23 00:00:00,"27090","REFRIG COCA COLA PET 2L","UN",300
26/04/23 00:00:00,"52565","CR DENTAL SORRISO 70G TRIP ACAO LIMP COMP","UN",23
27/04/23 00:00:00,"16871","DETERG LIMPOL NEUTRO FR 500ML","UN",41
02/04/23 00:00:00,"179","ACEM BOVINO POSTA KG","KG",100
06/04/23 00:00:00,"52565","CR DENTAL SORRISO 70G TRIP ACAO LIMP COMP","UN",116
12/04/23 00:00:00,"367","PAO FRANCES","KG",231
28/04/23 00:00:00,"225","COXA/SOBREC C/DORSO PCTAO KG","KG",535
02/04/23 00:00:00,"30812","OVO GAL LOCKS BJ C/30 PLAST","UN",162
22/04/23 00:00:00,"16871","DETERG LIMPOL NEUTRO FR 500ML","UN",63
14/09/24 00:00:00,"27090","REFRIG COCA COLA PET 2L","UN",211
04/09/24 00:00:00,"225","COXA/SOBREC C/DORSO PCTAO KG","KG",174
17/04/23 00:00:00,"28627","OLEO SOJA COAMO PET 900ML","UN",294
29/04/23 00:00:00,"27090","REFRIG COCA COLA PET 2L","UN",390
13/05/23 00:00:00,"28627","OLEO SOJA COAMO PET 900ML","UN",441
23/05/23 00:00:00,"225","COXA/SOBREC C/DORSO PCTAO KG","KG",247
04/02/24 00:00:00,"225","COXA/SOBREC C/DORSO PCTAO KG","KG",155
14/09/23 00:00:00,"27090","REFRIG COCA COLA PET 2L","UN",14557
22/09/23 00:00:00,"53056","SABON PALMOLIVE 85G HIDR INTENSIVA","UN",52
13/09/23 00:00:00,"28151","CAFE PO CABOCLO PCT 500G TRAD","UN",59
20/09/23 00:00:00,"27090","REFRIG COCA COLA PET 2L","UN",229
01/09/23 00:00:00,"179","ACEM BOVINO POSTA KG","KG",260
14/09/23 00:00:00,"28151","CAFE PO CABOCLO PCT 500G TRAD","UN",54
13/09/23 00:00:00,"16871","DETERG LIMPOL NEUTRO FR 500ML","UN",90
05/09/23 00:00:00,"52565","CR DENTAL SORRISO 70G TRIP ACAO LIMP COMP","UN",84
20/09/23 00:00:00,"28151","CAFE PO CABOCLO PCT 500G TRAD","UN",52
13/09/23 00:00:00,"367","PAO FRANCES","KG",272
15/09/23 00:00:00,"179","ACEM BOVINO POSTA KG","KG",274
19/11/23 00:00:00,"28627","OLEO SOJA COAMO PET 900ML","UN",172
10/11/23 00:00:00,"225","COXA/SOBREC C/DORSO PCTAO KG","KG",534
12/11/23 00:00:00,"30812","OVO GAL LOCKS BJ C/30 PLAST","UN",133
06/11/23 00:00:00,"179","ACEM BOVINO POSTA KG","KG",101
15/11/23 00:00:00,"30812","OVO GAL LOCKS BJ C/30 PLAST","UN",187
03/02/24 00:00:00,"30812","OVO GAL LOCKS BJ C/30 PLAST","UN",401
26/02/24 00:00:00,"179","ACEM BOVINO POSTA KG","KG",75
27/02/24 00:00:00,"28627","OLEO SOJA COAMO PET 900ML","UN",186
02/02/24 00:00:00,"367","PAO FRANCES","KG",394
23/02/24 00:00:00,"28151","CAFE PO CABOCLO PCT 500G TRAD","UN",50
11/02/24 00:00:00,"27090","REFRIG COCA COLA PET 2L","UN",212
16/02/24 00:00:00,"367","PAO FRANCES","KG",343
21/12/23 00:00:00,"28627","OLEO SOJA COAMO PET 900ML","UN",334
12/12/23 00:00:00,"30812","OVO GAL LOCKS BJ C/30 PLAST","UN",253
21/12/23 00:00:00,"225","COXA/SOBREC C/DORSO PCTAO KG","KG",346
15/12/23 00:00:00,"53056","SABON PALMOLIVE 85G HIDR INTENSIVA","UN",12
08/12/23 00:00:00,"30812","OVO GAL LOCKS BJ C/30 PLAST","UN",314
22/12/23 00:00:00,"27090","REFRIG COCA COLA PET 2L","UN",613
05/12/23 00:00:00,"27090","REFRIG COCA COLA PET 2L","UN",28964
31/12/23 00:00:00,"52565","CR DENTAL SORRISO 70G TRIP ACAO LIMP COMP","UN",32
31/12/23 00:00:00,"179","ACEM BOVINO POSTA KG","KG",97
28/12/23 00:00:00,"225","COXA/SOBREC C/DORSO PCTAO KG","KG",238
01/12/23 00:00:00,"52565","CR DENTAL SORRISO 70G TRIP ACAO LIMP COMP","UN",135
19/12/23 00:00:00,"179","ACEM BOVINO POSTA KG","KG",107
06/12/23 00:00:00,"28151","CAFE PO CABOCLO PCT 500G TRAD","UN",98
19/12/23 00:00:00,"27090","REFRIG COCA COLA PET 2L","UN",224
21/12/23 00:00:00,"16871","DETERG LIMPOL NEUTRO FR 500ML","UN",79
02/12/23 00:00:00,"27090","REFRIG COCA COLA PET 2L","UN",513
22/12/23 00:00:00,"52565","CR DENTAL SORRISO 70G TRIP ACAO LIMP COMP","UN",89
10/12/23 00:00:00,"28151","CAFE PO CABOCLO PCT 500G TRAD","UN",57
22/12/23 00:00:00,"367","PAO FRANCES","KG",323
27/12/23 00:00:00,"28151","CAFE PO CABOCLO PCT 500G TRAD","UN",28
24/12/23 00:00:00,"53056","SABON PALMOLIVE 85G HIDR INTENSIVA","UN",18
23/12/23 00:00:00,"225","COXA/SOBREC C/DORSO PCTAO KG","KG",577
01/12/23 00:00:00,"367","PAO FRANCES","KG",368
16/12/23 00:00:00,"28151","CAFE PO CABOCLO PCT 500G TRAD","UN",48
31/12/23 00:00:00,"27090","REFRIG COCA COLA PET 2L","UN",429
17/12/23 00:00:00,"367","PAO FRANCES","KG",243
30/12/23 00:00:00,"28627","OLEO SOJA COAMO PET 900ML","UN",307
30/12/23 00:00:00,"27090","REFRIG COCA COLA PET 2L","UN",712
15/12/23 00:00:00,"225","COXA/SOBREC C/DORSO PCTAO KG","KG",307
03/12/23 00:00:00,"16871","DETERG LIMPOL NEUTRO FR 500ML","UN",37
10/12/23 00:00:00,"367","PAO FRANCES","KG",206
17/11/24 00:00:00,"179","ACEM BOVINO POSTA KG","KG",88
08/11/24 00:00:00,"28151","CAFE PO CABOCLO PCT 500G TRAD","UN",105
07/11/24 00:00:00,"30812","OVO GAL LOCKS BJ C/30 PLAST","UN",302
23/11/24 00:00:00,"52565","CR DENTAL SORRISO 70G TRIP ACAO LIMP COMP","UN",99
